Description,,Summary Amt.,
Beginning balance as of 01/01/2025,,116.61,
Total credits,,"35,343.63",
Total debits,,"-35,426.90",
Ending balance as of 08/29/2025,,33.34,
,,,
Date,Description,Amount,Running Bal.
1/1/2025,Beginning balance as of 01/01/2025,,116.61
1/2/2025,Transfer DAILY PAY,91.51,208.12
1/2/2025,Transfer DAILY PAY,71.51,279.63
1/2/2025,CHICK-FIL-A #0540 12/31 PURCHASE FLOWERY BRANC GA,-20.34,259.29
1/2/2025,BP#8136079CLIPPER 01/01 PURCHASE GAINESVILLE GA,-7.24,252.05
1/2/2025,TRACTOR SUPPLY 01/01 PURCHASE GAINESVILLE GA,-1.91,250.14
1/2/2025,DOLLAR GENERAL 01/01 PURCHASE GILLSVILLE GA,-52.02,198.12
1/2/2025,PC8008 KANKU'S 01/01 PURCHASE OAKWOOD GA,-30.1,168.02
1/3/2025,OAKWOOD PACKAGE S 12/31 PURCHASE FLOWERY BRANC GA,-19.59,148.43
1/3/2025,OAKWOOD PACKAGE S 01/01 PURCHASE FLOWERY BRANC GA,-11.97,136.46
1/3/2025,FIRST WATCH 1038 01/02 PURCHASE XXXXX79800 GA,-43.5,92.96
1/3/2025,3928 Great Clips 01/02 PURCHASE GAINESVILLE GA,-29.98,62.98
1/3/2025,TRACTOR SUPPLY 01/03 PURCHASE GAINESVILLE GA,-1.75,61.23
1/6/2025,Transfer DAILY PAY,155.51,216.74
1/6/2025,Transfer DAILY PAY,104.51,321.25
1/6/2025,Transfer DAILY PAY,91.51,412.76
1/6/2025,Transfer DAILY PAY,81.51,494.27
1/6/2025,Transfer DAILY PAY,54.51,548.78
1/6/2025,BP#7698079ANDYS B 01/03 PURCHASE GAINESVILLE GA,-11.76,537.02
1/6/2025,Zelle payment to Kids iPhone Conf# zf3iwt9qc,-200,337.02
1/6/2025,BP#7698079ANDYS B 01/04 PURCHASE GAINESVILLE GA,-3.52,333.5
1/6/2025,BP#8136079CLIPPER 01/05 PURCHASE GAINESVILLE GA,-10.88,322.62
1/6/2025,TRACTOR SUPPLY 01/05 PURCHASE GAINESVILLE GA,-1.75,320.87
1/6/2025,TRACTOR SUPPLY 01/05 PURCHASE GAINESVILLE GA,-1.75,319.12
1/6/2025,TRACTOR SUPPLY 01/05 PURCHASE GAINESVILLE GA,-10.19,308.93
1/6/2025,BP#7698079ANDYS B 01/05 PURCHASE GAINESVILLE GA,-11.76,297.17
1/6/2025,CHEVRON 0053492 01/05 PURCHASE GAINESVILLE GA,-20,277.17
1/6/2025,Peacock 62A60 Pre 01/06 PURCHASE XXXXX40138 NY,-6,271.17
1/6/2025,Peacock 43CE3 Pre 01/06 PURCHASE XXXXX40138 NY,-7.99,263.18
1/6/2025,Zelle payment to Kids iPhone Conf# tn5dpbfr6,-150,113.18
1/6/2025,TRACTOR SUPPLY 01/06 PURCHASE GAINESVILLE GA,-1.75,111.43
1/6/2025,DOLLAR GENERAL 01/06 PURCHASE GILLSVILLE GA,-26.32,85.11
1/7/2025,Transfer DAILY PAY,80.51,165.62
1/7/2025,BP#8136079CLIPPER 01/06 PURCHASE GAINESVILLE GA,-4.69,160.93
1/7/2025,SUNOCO XXXXX14300 01/06 PURCHASE GILLSVILLE GA,-12.83,148.1
1/7/2025,Zelle payment to Kids iPhone Conf# ygu6au3ce,-100,48.1
1/7/2025,DOLLAR GENERAL 01/07 PURCHASE GILLSVILLE GA,-9.17,38.93
1/8/2025,Transfer DAILY PAY,53.51,92.44
1/8/2025,OAKWOOD PACKAGE S 01/06 PURCHASE FLOWERY BRANC GA,-11.97,80.47
1/8/2025,BP#7698079ANDY 01/08 PURCHASE GAINESVILLE GA,-20.1,60.37
1/9/2025,Transfer DAILY PAY,61.28,121.65
1/9/2025,TACO BELL 0004531 01/07 PURCHASE COMMERCE GA,-22.27,99.38
1/9/2025,BP#7698079ANDYS B 01/08 PURCHASE GAINESVILLE GA,-11.76,87.62
1/9/2025,DOLLAR GENERAL 01/09 PURCHASE GILLSVILLE GA,-6.15,81.47
1/10/2025,DAILYPAY DES:TRACTOR SU ID:17887747 INDN:TIMOTHY LUBBESS CO ID:XXXXX35714 PPD,416.95,498.42
1/10/2025,Transfer DAILY PAY,91.59,590.01
1/10/2025,MEDLINK BANKS 01/09 PURCHASE HOMER GA,-35,555.01
1/10/2025,Zelle payment to Kids iPhone Conf# uukj025go,-400,155.01
1/10/2025,TRACTOR SUPPLY 01/10 PURCHASE GAINESVILLE GA,-1.75,153.26
1/10/2025,TRACTOR SUPPLY 01/10 PURCHASE GAINESVILLE GA,-1.75,151.51
1/10/2025,Zelle payment to Kids iPhone Conf# y2h4psocy,-50,101.51
1/13/2025,Transfer DAILY PAY,101.51,203.02
1/13/2025,Transfer DAILY PAY,85.44,288.46
1/13/2025,Transfer DAILY PAY,79.41,367.87
1/13/2025,QT 847 01/10 PURCHASE GAINESVILLE GA,-9.7,358.17
1/13/2025,BP#7698079ANDYS B 01/10 PURCHASE GAINESVILLE GA,-26.5,331.67
1/13/2025,TRACTOR SUPPLY 01/11 PURCHASE GAINESVILLE GA,-3.6,328.07
1/13/2025,TRACTOR SUPPLY 01/11 PURCHASE GAINESVILLE GA,-40.61,287.46
1/13/2025,OAKWOOD PACKAGE S 01/11 PURCHASE FLOWERY BRANC GA,-11.97,275.49
1/13/2025,DOLLAR GENERAL 01/11 PURCHASE GILLSVILLE GA,-47.79,227.7
1/13/2025,BP#8136079CLIP 01/11 PURCHASE GAINESVILLE GA,-30,197.7
1/13/2025,TRACTOR SUPPLY 01/12 PURCHASE GAINESVILLE GA,-1.75,195.95
1/13/2025,BP#7698079ANDYS B 01/12 PURCHASE GAINESVILLE GA,-17.94,178.01
1/13/2025,TRACTOR SUPPLY 01/13 PURCHASE GAINESVILLE GA,-1.75,176.26
1/13/2025,AUTOZONE 2035 01/13 PURCHASE GAINESVILLE GA,-19.25,157.01
1/13/2025,TRACTOR SUPPLY 01/13 PURCHASE GAINESVILLE GA,-1.75,155.26
1/13/2025,DOLLAR GENERAL 01/13 PURCHASE GILLSVILLE GA,-88.5,66.76
1/14/2025,Transfer DAILY PAY,91.51,158.27
1/14/2025,BP#8136079CLIPPER 01/13 PURCHASE GAINESVILLE GA,-2.13,156.14
